"Date","Time (GMT)","Predicted","Preliminary","Verified"
"2021/01/20","00:00","-0.171","-","-0.139"
"2021/01/20","01:00","-0.262","-","-0.254"
"2021/01/20","02:00","-0.334","-","-0.29"
"2021/01/20","03:00","-0.37","-","-0.36"
"2021/01/20","04:00","-0.365","-","-0.303"
"2021/01/20","05:00","-0.323","-","-0.262"
"2021/01/20","06:00","-0.257","-","-0.199"
"2021/01/20","07:00","-0.188","-","-0.173"
"2021/01/20","08:00","-0.136","-","-0.151"
"2021/01/20","09:00","-0.116","-","-0.087"
"2021/01/20","10:00","-0.131","-","-0.097"
"2021/01/20","11:00","-0.178","-","-0.134"
"2021/01/20","12:00","-0.241","-","-0.176"
"2021/01/20","13:00","-0.301","-","-0.281"
"2021/01/20","14:00","-0.341","-","-0.27"
"2021/01/20","15:00","-0.35","-","-0.323"
"2021/01/20","16:00","-0.322","-","-0.278"
"2021/01/20","17:00","-0.264","-","-0.249"
"2021/01/20","18:00","-0.183","-","-0.159"
"2021/01/20","19:00","-0.097","-","-0.049"
"2021/01/20","20:00","-0.024","-","-0.002"
"2021/01/20","21:00","0.021","-","0.068"
"2021/01/20","22:00","0.026","-","0.089"
"2021/01/20","23:00","-0.011","-","0.08"
"2021/01/21","00:00","-0.084","-","0.024"
"2021/01/21","01:00","-0.177","-","-0.053"
"2021/01/21","02:00","-0.271","-","-0.154"
"2021/01/21","03:00","-0.349","-","-0.236"
"2021/01/21","04:00","-0.398","-","-0.268"
"2021/01/21","05:00","-0.411","-","-0.287"
"2021/01/21","06:00","-0.387","-","-0.228"
"2021/01/21","07:00","-0.337","-","-0.201"
"2021/01/21","08:00","-0.274","-","-0.14"
"2021/01/21","09:00","-0.22","-","-0.087"
"2021/01/21","10:00","-0.187","-","-0.055"
"2021/01/21","11:00","-0.184","-","-0.023"
"2021/01/21","12:00","-0.205","-","-0.014"
"2021/01/21","13:00","-0.237","-","-0.048"
"2021/01/21","14:00","-0.266","-","-0.132"
"2021/01/21","15:00","-0.28","-","-0.119"
"2021/01/21","16:00","-0.272","-","-0.127"
"2021/01/21","17:00","-0.241","-","-0.128"
"2021/01/21","18:00","-0.189","-","-0.081"
"2021/01/21","19:00","-0.121","-","0.004"
"2021/01/21","20:00","-0.048","-","0.115"
"2021/01/21","21:00","0.013","-","0.16"
"2021/01/21","22:00","0.048","-","0.171"
"2021/01/21","23:00","0.044","-","0.164"
"2021/01/22","00:00","0","-","0.179"
"2021/01/22","01:00","-0.078","-","0.142"
"2021/01/22","02:00","-0.177","-","0.01"
"2021/01/22","03:00","-0.281","-","-0.115"
"2021/01/22","04:00","-0.375","-","-0.162"
"2021/01/22","05:00","-0.443","-","-0.232"
"2021/01/22","06:00","-0.475","-","-0.242"
"2021/01/22","07:00","-0.465","-","-0.226"
"2021/01/22","08:00","-0.418","-","-0.186"
"2021/01/22","09:00","-0.35","-","-0.105"
"2021/01/22","10:00","-0.282","-","-0.039"
"2021/01/22","11:00","-0.231","-","0.026"
"2021/01/22","12:00","-0.205","-","0.038"
"2021/01/22","13:00","-0.201","-","0.022"
"2021/01/22","14:00","-0.209","-","0.045"
"2021/01/22","15:00","-0.219","-","-0.012"
"2021/01/22","16:00","-0.222","-","0.013"
"2021/01/22","17:00","-0.212","-","-0.036"
"2021/01/22","18:00","-0.187","-","-0.044"
"2021/01/22","19:00","-0.142","-","0.055"
"2021/01/22","20:00","-0.081","-","0.088"
"2021/01/22","21:00","-0.013","-","0.131"
"2021/01/22","22:00","0.045","-","0.215"
"2021/01/22","23:00","0.076","-","0.235"
"2021/01/23","00:00","0.069","-","0.218"
"2021/01/23","01:00","0.02","-","0.189"
"2021/01/23","02:00","-0.066","-","0.134"
"2021/01/23","03:00","-0.178","-","-0.008"
"2021/01/23","04:00","-0.301","-","-0.091"
"2021/01/23","05:00","-0.417","-","-0.191"
"2021/01/23","06:00","-0.506","-","-0.276"
"2021/01/23","07:00","-0.551","-","-0.371"
"2021/01/23","08:00","-0.543","-","-0.363"
"2021/01/23","09:00","-0.488","-","-0.322"
"2021/01/23","10:00","-0.404","-","-0.215"
"2021/01/23","11:00","-0.316","-","-0.122"
"2021/01/23","12:00","-0.244","-","-0.101"
"2021/01/23","13:00","-0.197","-","-0.008"
"2021/01/23","14:00","-0.175","-","0.001"
"2021/01/23","15:00","-0.171","-","-0.017"
"2021/01/23","16:00","-0.176","-","0.006"
"2021/01/23","17:00","-0.182","-","-0.048"
"2021/01/23","18:00","-0.18","-","-0.065"
"2021/01/23","19:00","-0.161","-","-0.027"
"2021/01/23","20:00","-0.118","-","-0.025"
"2021/01/23","21:00","-0.054","-","0.053"
"2021/01/23","22:00","0.018","-","0.094"
"2021/01/23","23:00","0.08","-","0.15"
"2021/01/24","00:00","0.113","-","0.218"
"2021/01/24","01:00","0.102","-","0.19"
"2021/01/24","02:00","0.045","-","0.172"
"2021/01/24","03:00","-0.055","-","0.094"
"2021/01/24","04:00","-0.188","-","-0.033"
"2021/01/24","05:00","-0.337","-","-0.177"
"2021/01/24","06:00","-0.479","-","-0.333"
"2021/01/24","07:00","-0.584","-","-0.454"
